service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20250312,20250616
Daily-2,1,1,1,1,1,1,1,20250312,20250322
Daily-3,1,1,1,1,1,1,1,20250312,20250313
Daily-4,1,1,1,1,1,1,1,20250312,20250616
Daily-5,1,1,1,1,1,1,1,20250323,20250616
ExSat-1,1,1,1,1,1,0,1,20250312,20250616
ExSun-1,1,1,1,1,1,1,0,20250312,20250616
ExSun-2,1,1,1,1,1,1,0,20250312,20250616
ExTue-1,1,0,1,1,1,1,1,20250312,20250616
FriSat-1,0,0,0,0,1,1,0,20250312,20250616
FriSat-2,0,0,0,0,1,1,0,20250312,20250616
FriSatSun-1,0,0,0,0,1,1,1,20250312,20250616
Friday-1,0,0,0,0,1,0,0,20250312,20250616
Friday-2,0,0,0,0,1,0,0,20250312,20250616
Friday-3,0,0,0,0,1,0,0,20250312,20250616
Friday-4,0,0,0,0,1,0,0,20250314,20250322
Other-1,0,0,0,0,0,0,0,20250312,20250616
Other-10,0,0,0,0,0,0,0,20250312,20250616
Other-11,0,0,0,0,0,0,0,20250312,20250616
Other-12,0,0,0,0,0,0,0,20250312,20250616
Other-13,0,0,0,0,0,0,0,20250312,20250616
Other-14,0,0,0,0,0,0,0,20250312,20250616
Other-15,0,0,0,0,0,0,0,20250312,20250616
Other-16,0,0,0,0,0,0,0,20250312,20250616
Other-17,0,0,0,0,0,0,0,20250312,20250616
Other-18,0,0,0,0,0,0,0,20250312,20250616
Other-19,0,0,0,0,0,0,0,20250314,20250616
Other-2,0,0,0,0,0,0,0,20250312,20250616
Other-20,0,0,0,0,0,0,0,20250314,20250616
Other-21,0,0,0,0,0,0,0,20250314,20250616
Other-22,0,0,0,0,0,0,0,20250314,20250616
Other-23,0,0,0,0,0,0,0,20250314,20250616
Other-24,0,0,0,0,0,0,0,20250312,20250616
Other-25,0,0,0,0,0,0,0,20250314,20250616
Other-26,0,0,0,0,0,0,0,20250314,20250616
Other-27,0,0,0,0,0,0,0,20250314,20250616
Other-28,0,0,0,0,0,0,0,20250314,20250616
Other-29,0,0,0,0,0,0,0,20250323,20250616
Other-3,0,0,0,0,0,0,0,20250312,20250616
Other-30,0,0,0,0,0,0,0,20250323,20250616
Other-31,0,0,0,0,0,0,0,20250323,20250616
Other-32,0,0,0,0,0,0,0,20250323,20250616
Other-33,0,0,0,0,0,0,0,20250323,20250616
