service_id,date,exception_type
Daily-4,20250505,2
Daily-4,20250506,2
Daily-4,20250507,2
Daily-4,20250508,2
Daily-4,20250509,2
Daily-4,20250510,2
Daily-4,20250511,2
Daily-4,20250512,2
Daily-4,20250513,2
Daily-4,20250514,2
Daily-4,20250515,2
Daily-4,20250516,2
Daily-4,20250517,2
Daily-4,20250518,2
Daily-4,20250519,2
Daily-4,20250520,2
Daily-4,20250521,2
Daily-4,20250522,2
Daily-4,20250523,2
Daily-4,20250524,2
Daily-4,20250525,2
Daily-4,20250526,2
Daily-4,20250527,2
Daily-4,20250528,2
Daily-4,20250529,2
Daily-4,20250530,2
Daily-4,20250531,2
Daily-4,20250601,2
Daily-4,20250602,2
Daily-4,20250603,2
Daily-4,20250604,2
Daily-4,20250605,2
Daily-4,20250606,2
Daily-4,20250607,2
Daily-4,20250608,2
Daily-4,20250609,2
Daily-4,20250610,2
Daily-4,20250611,2
Daily-4,20250612,2
Daily-4,20250613,2
Daily-4,20250614,2
Daily-4,20250615,2
Daily-4,20250616,2
ExSun-1,20250418,2
ExSun-1,20250421,2
ExSun-1,20250425,2
ExSun-1,20250602,2
ExSun-2,20250418,2
ExSun-2,20250419,2
ExSun-2,20250421,2
ExSun-2,20250425,2
ExSun-2,20250426,2
ExSun-2,20250602,2
FriSat-1,20250418,2
FriSat-2,20250418,2
FriSat-2,20250425,2
FriSatSun-1,20250312,1
FriSatSun-1,20250313,1
FriSatSun-1,20250319,1
FriSatSun-1,20250320,1
FriSatSun-1,20250326,1
FriSatSun-1,20250327,1
FriSatSun-1,20250421,1
FriSatSun-1,20250509,2
FriSatSun-1,20250510,2
FriSatSun-1,20250511,2
FriSatSun-1,20250516,2
FriSatSun-1,20250517,2
FriSatSun-1,20250518,2
FriSatSun-1,20250523,2
FriSatSun-1,20250524,2
FriSatSun-1,20250525,2
FriSatSun-1,20250530,2
FriSatSun-1,20250531,2
FriSatSun-1,20250601,2
FriSatSun-1,20250606,2
FriSatSun-1,20250607,2
FriSatSun-1,20250608,2
FriSatSun-1,20250613,2
FriSatSun-1,20250614,2
FriSatSun-1,20250615,2
Friday-1,20250418,2
Friday-1,20250425,2
Friday-2,20250404,2
Friday-2,20250418,2
Friday-2,20250425,2
Friday-2,20250502,2
Friday-2,20250530,2
Friday-2,20250606,2
Friday-3,20250417,1
Friday-3,20250418,2
Friday-3,20250425,2
Friday-4,20250317,1
Other-1,20250312,1
Other-1,20250313,1
Other-1,20250314,1
Other-1,20250317,1
Other-1,20250318,1
Other-1,20250319,1
Other-1,20250320,1
Other-1,20250321,1
Other-1,20250324,1
Other-1,20250325,1
Other-1,20250326,1
Other-1,20250327,1
Other-1,20250328,1
Other-1,20250331,1
Other-1,20250401,1
Other-1,20250402,1
Other-1,20250403,1
Other-1,20250404,1
Other-1,20250407,1
Other-1,20250408,1
Other-1,20250409,1
Other-1,20250410,1
Other-1,20250411,1
Other-1,20250414,1
Other-1,20250415,1
Other-1,20250416,1
Other-1,20250417,1
Other-1,20250422,1
Other-1,20250423,1
Other-1,20250424,1
Other-10,20250324,1
Other-10,20250407,1
Other-11,20250414,1
Other-11,20250415,1
Other-11,20250416,1
Other-11,20250417,1
Other-11,20250422,1
Other-11,20250423,1
Other-11,20250424,1
Other-12,20250404,1
Other-12,20250418,1
Other-12,20250419,1
Other-12,20250420,1
Other-12,20250502,1
Other-12,20250531,1
Other-12,20250606,1
Other-13,20250418,1
Other-13,20250419,1
Other-13,20250420,1
Other-14,20250418,1
Other-14,20250419,1
Other-14,20250420,1
Other-14,20250421,1
Other-14,20250531,1
Other-15,20250406,1
Other-15,20250418,1
Other-15,20250419,1
Other-15,20250420,1
Other-15,20250421,1
Other-15,20250504,1
Other-15,20250601,1
Other-15,20250602,1
Other-15,20250608,1
Other-16,20250404,1
Other-16,20250417,1
Other-16,20250502,1
Other-16,20250530,1
Other-16,20250606,1
Other-17,20250312,1
Other-17,20250313,1
Other-17,20250314,1
Other-17,20250317,1
Other-17,20250318,1
Other-17,20250319,1
Other-17,20250320,1
Other-17,20250321,1
Other-17,20250324,1
Other-17,20250325,1
Other-17,20250326,1
Other-17,20250327,1
Other-17,20250328,1
Other-17,20250331,1
Other-17,20250401,1
Other-17,20250402,1
Other-17,20250403,1
Other-17,20250404,1
Other-17,20250407,1
Other-17,20250408,1
Other-17,20250409,1
Other-17,20250410,1
Other-17,20250411,1
Other-18,20250312,1
Other-18,20250313,1
Other-18,20250314,1
Other-18,20250315,1
Other-18,20250316,1
Other-18,20250317,1
Other-18,20250318,1
Other-18,20250319,1
Other-18,20250320,1
Other-18,20250321,1
Other-18,20250322,1
Other-18,20250323,1
Other-18,20250324,1
Other-18,20250325,1
Other-18,20250326,1
Other-18,20250327,1
Other-18,20250328,1
Other-18,20250329,1
Other-18,20250330,1
Other-18,20250331,1
Other-18,20250401,1
Other-18,20250402,1
Other-18,20250403,1
Other-18,20250404,1
Other-18,20250405,1
Other-18,20250406,1
Other-18,20250407,1
Other-18,20250408,1
Other-18,20250409,1
Other-18,20250410,1
Other-18,20250411,1
Other-18,20250412,1
Other-18,20250413,1
Other-18,20250414,1
Other-18,20250415,1
Other-18,20250416,1
Other-18,20250417,1
Other-18,20250418,1
Other-18,20250419,1
Other-18,20250420,1
Other-18,20250421,1
Other-18,20250422,1
Other-18,20250423,1
Other-18,20250424,1
Other-19,20250504,1
Other-19,20250511,1
Other-19,20250518,1
Other-19,20250525,1
Other-19,20250601,1
Other-19,20250602,1
Other-19,20250608,1
Other-19,20250615,1
Other-2,20250320,1
Other-2,20250403,1
Other-20,20250329,1
Other-21,20250407,1
Other-22,20250318,1
Other-22,20250319,1
Other-22,20250320,1
Other-22,20250325,1
Other-22,20250326,1
Other-22,20250327,1
Other-22,20250401,1
Other-22,20250402,1
Other-22,20250403,1
Other-22,20250407,1
Other-22,20250408,1
Other-22,20250409,1
Other-22,20250410,1
Other-23,20250318,1
Other-23,20250319,1
Other-23,20250325,1
Other-23,20250326,1
Other-23,20250327,1
Other-23,20250401,1
Other-23,20250402,1
Other-23,20250407,1
Other-23,20250408,1
Other-23,20250409,1
Other-23,20250410,1
Other-24,20250319,1
Other-24,20250402,1
Other-25,20250318,1
Other-25,20250325,1
Other-25,20250326,1
Other-25,20250327,1
Other-25,20250401,1
Other-25,20250408,1
Other-25,20250409,1
Other-25,20250410,1
Other-26,20250317,1
Other-26,20250320,1
Other-26,20250331,1
Other-26,20250403,1
Other-26,20250407,1
Other-27,20250317,1
Other-27,20250320,1
Other-27,20250331,1
Other-27,20250403,1
Other-28,20250317,1
Other-28,20250331,1
Other-28,20250407,1
Other-29,20250325,1
Other-29,20250326,1
Other-29,20250327,1
Other-29,20250401,1
Other-29,20250408,1
Other-29,20250409,1
Other-29,20250410,1
Other-3,20250323,1
Other-3,20250330,1
Other-3,20250406,1
Other-30,20250325,1
Other-30,20250326,1
Other-30,20250327,1
Other-30,20250409,1
Other-30,20250410,1
Other-31,20250323,1
Other-31,20250330,1
Other-31,20250403,1
Other-31,20250406,1
Other-32,20250401,1
Other-32,20250402,1
Other-33,20250401,1
Other-33,20250408,1
Other-34,20250402,1
Other-35,20250403,1
Other-36,20250412,1
Other-36,20250413,1
Other-36,20250414,1
Other-36,20250415,1
Other-36,20250416,1
Other-36,20250417,1
Other-36,20250418,1
Other-36,20250419,1
Other-36,20250420,1
Other-36,20250421,1
Other-36,20250422,1
Other-36,20250423,1
Other-36,20250424,1
Other-36,20250425,1
Other-36,20250426,1
Other-36,20250427,1
Other-37,20250412,1
Other-37,20250413,1
Other-37,20250418,1
Other-37,20250419,1
Other-37,20250420,1
Other-37,20250421,1
Other-37,20250425,1
Other-37,20250426,1
Other-37,20250427,1
Other-38,20250412,1
Other-38,20250414,1
Other-38,20250415,1
Other-38,20250416,1
Other-38,20250417,1
Other-38,20250419,1
Other-38,20250422,1
Other-38,20250423,1
Other-38,20250424,1
Other-38,20250426,1
Other-39,20250412,1
Other-39,20250419,1
Other-39,20250426,1
Other-4,20250315,1
Other-40,20250419,1
Other-40,20250426,1
Other-41,20250425,1
Other-5,20250319,1
Other-6,20250312,1
Other-6,20250313,1
Other-6,20250318,1
Other-6,20250319,1
Other-6,20250325,1
Other-6,20250326,1
Other-6,20250327,1
Other-6,20250401,1
Other-6,20250402,1
Other-6,20250408,1
Other-6,20250409,1
Other-6,20250410,1
Other-7,20250317,1
Other-7,20250324,1
Other-7,20250331,1
Other-7,20250407,1
Other-8,20250317,1
Other-8,20250331,1
Other-9,20250317,1
Other-9,20250320,1
Other-9,20250324,1
Other-9,20250331,1
Other-9,20250403,1
Other-9,20250407,1
Saturday-3,20250315,2
Saturday-3,20250412,2
Saturday-3,20250419,2
Saturday-3,20250426,2
Saturday-4,20250315,2
Saturday-4,20250329,2
Saturday-4,20250412,2
Saturday-4,20250419,2
Saturday-4,20250426,2
Sunday-1,20250418,1
Sunday-1,20250421,1
Sunday-1,20250425,1
Sunday-1,20250602,1
Sunday-3,20250406,2
Sunday-3,20250420,2
Sunday-3,20250504,2
Sunday-3,20250601,2
Sunday-3,20250608,2
Sunday-4,20250421,1
Sunday-4,20250602,1
Sunday-4,20250420,2
Sunday-5,20250602,1
Sunday-5,20250316,2
Sunday-5,20250413,2
Sunday-5,20250420,2
Sunday-5,20250427,2
Sunday-6,20250418,1
Sunday-6,20250421,1
Sunday-6,20250425,1
Sunday-6,20250602,1
Thursday-2,20250314,1
Thursday-2,20250321,1
Thursday-2,20250328,1
Thursday-2,20250404,1
Thursday-2,20250411,1
Thursday-2,20250502,1
Thursday-2,20250509,1
Thursday-2,20250516,1
Thursday-2,20250523,1
Thursday-2,20250530,1
Thursday-2,20250606,1
Thursday-2,20250613,1
Thursday-2,20250417,2
Thursday-2,20250424,2
Tuesday-1,20250312,1
Tuesday-1,20250313,1
Tuesday-2,20250317,1
Tuesday-2,20250324,1
Tuesday-2,20250331,1
Tuesday-2,20250407,1
Tuesday-2,20250414,1
Tuesday-2,20250428,1
Tuesday-2,20250505,1
Tuesday-2,20250512,1
Tuesday-2,20250519,1
Tuesday-2,20250526,1
Tuesday-2,20250609,1
Tuesday-2,20250616,1
Wednesday-1,20250321,1
Wednesday-1,20250404,1
Wednesday-1,20250425,1
Wednesday-1,20250502,1
Wednesday-1,20250516,1
Wednesday-1,20250606,1
Wednesday-2,20250321,1
Wednesday-2,20250421,1
Wednesday-2,20250425,1
Wednesday-2,20250516,1
Wednesday-4,20250313,1
Wednesday-4,20250320,1
Wednesday-4,20250327,1
Wednesday-4,20250403,1
Wednesday-4,20250410,1
Wednesday-4,20250417,1
Wednesday-4,20250424,1
Wednesday-4,20250501,1
Wednesday-4,20250508,1
Wednesday-4,20250515,1
Wednesday-4,20250522,1
Wednesday-4,20250529,1
Wednesday-4,20250605,1
Wednesday-4,20250612,1
Weekday-1,20250418,2
Weekday-1,20250421,2
Weekday-1,20250425,2
Weekday-1,20250602,2
Weekday-10,20250318,2
Weekday-10,20250319,2
Weekday-10,20250320,2
Weekday-10,20250325,2
Weekday-10,20250326,2
Weekday-10,20250327,2
Weekday-10,20250401,2
Weekday-10,20250402,2
Weekday-10,20250403,2
Weekday-10,20250407,2
Weekday-10,20250408,2
Weekday-10,20250409,2
Weekday-10,20250410,2
Weekday-10,20250414,2
Weekday-10,20250415,2
Weekday-10,20250416,2
Weekday-10,20250417,2
Weekday-10,20250418,2
Weekday-10,20250421,2
Weekday-10,20250422,2
Weekday-10,20250423,2
Weekday-10,20250424,2
Weekday-10,20250425,2
Weekday-10,20250602,2
Weekday-11,20250318,2
Weekday-11,20250319,2
Weekday-11,20250325,2
Weekday-11,20250326,2
Weekday-11,20250327,2
Weekday-11,20250401,2
Weekday-11,20250402,2
Weekday-11,20250408,2
Weekday-11,20250409,2
Weekday-11,20250410,2
Weekday-11,20250414,2
Weekday-11,20250415,2
Weekday-11,20250416,2
Weekday-11,20250417,2
Weekday-11,20250418,2
Weekday-11,20250421,2
Weekday-11,20250422,2
Weekday-11,20250423,2
Weekday-11,20250424,2
Weekday-11,20250425,2
Weekday-11,20250602,2
Weekday-12,20250318,2
Weekday-12,20250319,2
Weekday-12,20250325,2
Weekday-12,20250326,2
Weekday-12,20250327,2
Weekday-12,20250401,2
Weekday-12,20250402,2
Weekday-12,20250407,2
Weekday-12,20250408,2
Weekday-12,20250409,2
Weekday-12,20250410,2
Weekday-12,20250414,2
Weekday-12,20250415,2
Weekday-12,20250416,2
Weekday-12,20250417,2
Weekday-12,20250418,2
Weekday-12,20250421,2
Weekday-12,20250422,2
Weekday-12,20250423,2
Weekday-12,20250424,2
Weekday-12,20250425,2
Weekday-12,20250602,2
Weekday-13,20250318,2
Weekday-13,20250325,2
Weekday-13,20250326,2
Weekday-13,20250327,2
Weekday-13,20250401,2
Weekday-13,20250408,2
Weekday-13,20250409,2
Weekday-13,20250410,2
Weekday-13,20250414,2
Weekday-13,20250415,2
Weekday-13,20250416,2
Weekday-13,20250417,2
Weekday-13,20250418,2
Weekday-13,20250421,2
Weekday-13,20250422,2
Weekday-13,20250423,2
Weekday-13,20250424,2
Weekday-13,20250425,2
Weekday-13,20250602,2
Weekday-14,20250317,2
Weekday-14,20250331,2
Weekday-14,20250407,2
Weekday-14,20250414,2
Weekday-14,20250415,2
Weekday-14,20250416,2
Weekday-14,20250417,2
Weekday-14,20250418,2
Weekday-14,20250421,2
Weekday-14,20250422,2
Weekday-14,20250423,2
Weekday-14,20250424,2
Weekday-14,20250425,2
Weekday-14,20250602,2
Weekday-15,20250317,2
Weekday-15,20250320,2
Weekday-15,20250331,2
Weekday-15,20250403,2
Weekday-15,20250407,2
Weekday-15,20250414,2
Weekday-15,20250415,2
Weekday-15,20250416,2
Weekday-15,20250417,2
Weekday-15,20250418,2
Weekday-15,20250421,2
Weekday-15,20250422,2
Weekday-15,20250423,2
Weekday-15,20250424,2
Weekday-15,20250425,2
Weekday-15,20250602,2
Weekday-16,20250314,2
Weekday-16,20250317,2
Weekday-16,20250321,2
Weekday-16,20250414,2
Weekday-16,20250415,2
Weekday-16,20250416,2
Weekday-16,20250417,2
Weekday-16,20250418,2
Weekday-16,20250421,2
Weekday-16,20250422,2
Weekday-16,20250423,2
Weekday-16,20250424,2
Weekday-16,20250425,2
Weekday-16,20250602,2
Weekday-17,20250314,2
Weekday-17,20250317,2
Weekday-17,20250318,2
